psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
7.249331,3.421601,103.535538,1.000000,0.000000,0.000000,0.000000,1.683953,-13.998588,18.302799,-0.998091,0.054077,0.029750,-0.002373
7.731032,3.720772,103.254791,1.000000,0.000000,0.000000,0.000000,2.234634,-13.361878,18.077555,-0.998072,0.050843,0.035558,-0.001701
8.287048,4.055360,103.274643,1.000000,0.000000,0.000000,0.000000,2.806779,-12.677685,17.865536,-0.998029,0.047287,0.041263,-0.000707
8.828936,4.456649,102.463058,1.000000,0.000000,0.000000,0.000000,3.477336,-11.884086,17.630127,-0.997987,0.042681,0.046893,0.000669
9.419764,4.889371,102.348236,1.000000,0.000000,0.000000,0.000000,4.104536,-11.141407,17.404789,-0.997948,0.038433,0.051185,0.001832
10.018780,5.327544,101.778030,1.000000,0.000000,0.000000,0.000000,4.837865,-10.257298,17.146835,-0.997897,0.033658,0.055282,0.003594
10.636662,5.795434,101.129822,1.000000,0.000000,0.000000,0.000000,5.479480,-9.447239,16.920214,-0.997893,0.028456,0.058014,0.005830
11.332876,6.294780,101.079712,1.000000,0.000000,0.000000,0.000000,6.108959,-8.576923,16.695793,-0.997910,0.021601,0.060404,0.007815
11.896418,6.820665,99.145035,1.000000,0.000000,0.000000,0.000000,6.785078,-7.496342,16.419064,-0.997843,0.013596,0.063552,0.009244
12.467378,7.344376,98.861282,1.000000,0.000000,0.000000,0.000000,7.347989,-6.459575,16.150002,-0.997644,0.008402,0.067212,0.010838
13.045168,7.923800,98.000824,1.000000,0.000000,0.000000,0.000000,7.893229,-5.363268,15.868844,-0.997348,0.004869,0.071391,0.013260
13.626481,8.527158,97.607933,1.000000,0.000000,0.000000,0.000000,8.485612,-4.080574,15.542698,-0.996945,0.001608,0.076346,0.016414
14.248778,9.188203,97.220459,1.000000,0.000000,0.000000,0.000000,8.966742,-2.924613,15.243671,-0.996550,-0.000162,0.080837,0.018821
14.764261,9.837090,96.098480,1.000000,0.000000,0.000000,0.000000,9.394290,-1.745875,14.930449,-0.996091,-0.001465,0.085974,0.020220
15.245497,10.522902,95.548347,1.000000,0.000000,0.000000,0.000000,9.786493,-0.393599,14.577029,-0.995399,-0.004114,0.093484,0.020633
15.594675,11.252318,94.283791,1.000000,0.000000,0.000000,0.000000,10.048269,0.812021,14.294476,-0.994744,-0.006314,0.100168,0.020270
16.020880,12.015938,93.948257,1.000000,0.000000,0.000000,0.000000,10.243268,2.031570,14.032167,-0.994191,-0.008036,0.105496,0.019752
16.330498,12.806008,93.511795,1.000000,0.000000,0.000000,0.000000,10.388491,3.396151,13.740306,-0.993777,-0.009774,0.109307,0.019083
16.482777,13.578564,92.400085,1.000000,0.000000,0.000000,0.000000,10.453246,4.584240,13.504619,-0.993685,-0.011539,0.110145,0.018026
16.564816,14.280800,91.372147,1.000000,0.000000,0.000000,0.000000,10.443881,5.769651,13.276047,-0.993790,-0.012857,0.109309,0.016390
16.636005,14.987883,90.667419,1.000000,0.000000,0.000000,0.000000,10.345675,7.092264,13.033347,-0.994107,-0.013710,0.106544,0.014560
16.713154,15.725619,90.268875,1.000000,0.000000,0.000000,0.000000,10.175570,8.205586,12.837559,-0.994448,-0.016161,0.103179,0.012911
16.645636,16.427572,89.527023,1.000000,0.000000,0.000000,0.000000,9.935898,9.278928,12.666841,-0.994782,-0.019697,0.099468,0.011225
16.444258,17.089661,88.649643,1.000000,0.000000,0.000000,0.000000,9.579412,10.447457,12.513945,-0.995180,-0.023184,0.094854,0.009024
16.105900,17.711777,87.498352,1.000000,0.000000,0.000000,0.000000,9.202697,11.425452,12.418984,-0.995534,-0.026334,0.090420,0.006525
15.659082,18.247042,86.167099,1.000000,0.000000,0.000000,0.000000,8.758348,12.365312,12.353063,-0.995853,-0.029458,0.085988,0.003868
15.195852,18.750700,84.905357,1.000000,0.000000,0.000000,0.000000,8.192660,13.375986,12.317922,-0.996222,-0.032349,0.080586,0.001392
14.886410,19.361149,84.585876,1.000000,0.000000,0.000000,0.000000,7.617817,14.193405,12.309191,-0.996499,-0.034720,0.076051,-0.000380
14.327826,19.891502,83.801308,1.000000,0.000000,0.000000,0.000000,6.971325,14.958234,12.343635,-0.996744,-0.036709,0.071749,-0.002296
13.593152,20.361370,82.676270,1.000000,0.000000,0.000000,0.000000,6.186364,15.778240,12.388973,-0.997021,-0.038802,0.066485,-0.004846
12.937079,20.880308,81.998932,1.000000,0.000000,0.000000,0.000000,5.446917,16.434235,12.433023,-0.997179,-0.042221,0.061674,-0.006945
12.282053,21.379896,81.492134,1.000000,0.000000,0.000000,0.000000,4.662570,17.032536,12.488687,-0.997282,-0.046160,0.056816,-0.008348
11.628947,22.016634,81.437103,1.000000,0.000000,0.000000,0.000000,3.711700,17.647249,12.581517,-0.997452,-0.048741,0.051287,-0.009106
10.914103,22.576696,81.363472,1.000000,0.000000,0.000000,0.000000,2.842951,18.157778,12.684959,-0.997676,-0.049749,0.045605,-0.009398
9.891172,22.840736,80.489029,1.000000,0.000000,0.000000,0.000000,1.933570,18.619616,12.770083,-0.997884,-0.051224,0.038872,-0.009638
9.090359,23.240471,80.291679,1.000000,0.000000,0.000000,0.000000,0.876310,19.085594,12.894559,-0.998080,-0.052911,0.030626,-0.009952
8.141516,23.544367,79.897255,1.000000,0.000000,0.000000,0.000000,-0.087385,19.424803,12.969570,-0.998200,-0.054403,0.023194,-0.009969
7.178393,23.811752,79.559074,1.000000,0.000000,0.000000,0.000000,-1.087204,19.719959,13.022482,-0.998261,-0.055877,0.015966,-0.009924
6.190563,24.048227,79.266220,1.000000,0.000000,0.000000,0.000000,-2.092483,19.985312,13.047647,-0.998291,-0.056870,0.008755,-0.010255
5.202207,24.384560,79.300957,1.000000,0.000000,0.000000,0.000000,-3.258413,20.245066,13.065349,-0.998286,-0.057483,0.000003,-0.010991
4.138044,24.513578,79.042168,1.000000,0.000000,0.000000,0.000000,-4.321739,20.430670,13.073330,-0.998198,-0.058282,-0.008416,-0.011534
3.063480,24.728970,78.991280,1.000000,0.000000,0.000000,0.000000,-5.530155,20.571152,13.083712,-0.997977,-0.059830,-0.017718,-0.012203
1.947814,24.797237,78.788498,1.000000,0.000000,0.000000,0.000000,-6.633211,20.674292,13.104628,-0.997754,-0.060687,-0.025051,-0.013273
0.788356,24.783741,78.413506,1.000000,0.000000,0.000000,0.000000,-7.770471,20.731829,13.128626,-0.997539,-0.060609,-0.032089,-0.014555
-0.341866,24.859760,78.306122,1.000000,0.000000,0.000000,0.000000,-8.905711,20.747303,13.163465,-0.997276,-0.060343,-0.039430,-0.015658
-1.525058,24.779484,77.951393,1.000000,0.000000,0.000000,0.000000,-10.211279,20.705910,13.222699,-0.996865,-0.060297,-0.048449,-0.016641
-2.702108,24.727844,77.744713,1.000000,0.000000,0.000000,0.000000,-11.399596,20.625425,13.286981,-0.996443,-0.060113,-0.056422,-0.017475
-3.933814,24.692207,77.740509,1.000000,0.000000,0.000000,0.000000,-12.590042,20.488264,13.359701,-0.996020,-0.059465,-0.063737,-0.018589
-5.150136,24.588436,77.659088,1.000000,0.000000,0.000000,0.000000,-13.933622,20.267525,13.453083,-0.995460,-0.058736,-0.072176,-0.019998
-6.369430,24.411772,77.536774,1.000000,0.000000,0.000000,0.000000,-15.126802,20.008465,13.557445,-0.994789,-0.058595,-0.080658,-0.021345
-7.652566,24.339077,77.729294,1.000000,0.000000,0.000000,0.000000,-16.311447,19.691198,13.677114,-0.994019,-0.058882,-0.089082,-0.022888
-8.854776,24.146320,77.792397,1.000000,0.000000,0.000000,0.000000,-17.651970,19.277113,13.825122,-0.993162,-0.058833,-0.097753,-0.024740
-10.143988,23.968304,78.029129,1.000000,0.000000,0.000000,0.000000,-18.848761,18.843672,13.959734,-0.992440,-0.057557,-0.105217,-0.026084
-11.480876,23.824482,78.507233,1.000000,0.000000,0.000000,0.000000,-20.009781,18.369350,14.087285,-0.991633,-0.055541,-0.113200,-0.027666
-12.820823,23.602905,79.056625,1.000000,0.000000,0.000000,0.000000,-21.306452,17.755493,14.240170,-0.990497,-0.053696,-0.123097,-0.029663
-14.045536,23.298237,79.428596,1.000000,0.000000,0.000000,0.000000,-22.454132,17.135115,14.397801,-0.989474,-0.052012,-0.131333,-0.031444
-15.220608,22.866673,79.662422,1.000000,0.000000,0.000000,0.000000,-23.689915,16.355204,14.568920,-0.988564,-0.049022,-0.138631,-0.033457
-16.584732,22.509403,80.421875,1.000000,0.000000,0.000000,0.000000,-24.742334,15.591940,14.722042,-0.987798,-0.045496,-0.144702,-0.035317
-17.569248,21.938850,80.583046,1.000000,0.000000,0.000000,0.000000,-25.742603,14.762192,14.885396,-0.986755,-0.042226,-0.152068,-0.037523
-18.629341,21.343662,80.871658,1.000000,0.000000,0.000000,0.000000,-26.779648,13.753085,15.076031,-0.985381,-0.039093,-0.160870,-0.040218
-19.565063,20.648129,80.983017,1.000000,0.000000,0.000000,0.000000,-27.626684,12.787845,15.254620,-0.984266,-0.035781,-0.167553,-0.043208
-20.385849,19.878538,80.980484,1.000000,0.000000,0.000000,0.000000,-28.398138,11.757402,15.421328,-0.983415,-0.030330,-0.172544,-0.046933
